"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels",Comment,Date,"Views by top audience (M)","Views by top audience (F)","Views by top audience (13-17, F)","Views by top audience (13-17, M)","Views by top audience (18-24, F)","Views by top audience (18-24, M)","Views by top audience (25-34, F)","Views by top audience (25-34, M)","Views by top audience (35-44, F)","Views by top audience (35-44, M)","Views by top audience (45-54, F)","Views by top audience (45-54, M)","Views by top audience (55-64, F)","Views by top audience (55-64, M)","Views by top audience (65+, F)","Views by top audience (65+, M)","Views by top audience (13-17)","Views by top audience (18-24)","Views by top audience (25-34)","Views by top audience (35-44)","Views by top audience (45-54)","Views by top audience (55-64)","Views by top audience (65+)","Averaged Seconds Viewed","Unique Video 60-Second Views","Seconds Viewed","60-Second Video Views","3-Second Video Views","People reached",Likes,Comments,Shares,Impressions,"Views by country (Philippines (PH))","Views by country (New Zealand (NZ))","Views by country (Chile (CL))","Views by country (Czech Republic (CZ))","Views by country (Belgium (BE))","Views by country (Romania (RO))","Views by country (Portugal (PT))","Views by country (Sweden (SE))","Views by country (Pakistan (PK))","Views by country (Malaysia (MY))","Views by country (Denmark (DK))","Views by country (Slovakia (SK))","Views by country (Turkey (TR))","Views by country (Thailand (TH))","Views by country (Bulgaria (BG))","Views by country (Austria (AT))","Views by country (Trinidad and Tobago (TT))","Views by country (Ukraine (UA))","Views by country (Serbia (RS))","Views by country (Costa Rica (CR))","Views by country (Norway (NO))","Views by country (Israel (IL))","Views by country (Ecuador (EC))","Views by country (Egypt (EG))","Views by country (Indonesia (ID))","Views by country (United States (US))","Views by country (Canada (CA))","Views by country (United Kingdom (GB))","Views by country (Mexico (MX))","Views by country (Australia (AU))","Views by country (France (FR))","Views by country (Germany (DE))","Views by country (Brazil (BR))","Views by country (Spain (ES))","Views by country (Greece (GR))","Views by country (South Africa (ZA))","Views by country (Poland (PL))","Views by country (Netherlands (NL))","Views by country (Puerto Rico (PR))","Views by country (Ireland (IE))","Views by country (Italy (IT))","Views by country (India (IN))","Views by country (Argentina (AR))","Views by country (Colombia (CO))","Views by country (Hungary (HU))","Views by country (Peru (PE))","Views by country (Singapore (SG))","Views by country (Guatemala (GT))","Views by country (Dominican Republic (DO))","Views by country (Lithuania (LT))","Views by country (Algeria (DZ))","Views by country (Réunion (RE))","Views by country (Tunisia (TN))","Views by country (Croatia (HR))","Views by country (Switzerland (CH))","Views by country (Uruguay (UY))","Views by country (Finland (FI))","Views by country (Bangladesh (BD))","Views by country (Slovenia (SI))","Views by country (Hong Kong (HK))","Views by country (Myanmar (MM))","Views by country (Mongolia (MN))","Views by country (Estonia (EE))","Views by country (Cuba (CU))","Views by country (United Arab Emirates (AE))","Views by country (Venezuela (VE))","Views by country (Latvia (LV))","Views by country (Nicaragua (NI))","Views by country (Honduras (HN))","Views by country (Paraguay (PY))","Views by country (Japan (JP))","Views by country (Sri Lanka (LK))","Views by country (Bosnia and Herzegovina (BA))","Views by country (Macedonia (MK))","Views by country (Syria (SY))","Views by country (El Salvador (SV))","Views by country (Bolivia (BO))"
729825865554488,,201765839840980,Hometalk,"9 gorgeous Americana wreath ideas to copy this summer!",188,"05/14/2023 15:05",,,Lifetime,4024,43140,40,6,598,141,3854,487,6475,705,8505,753,11035,826,12633,1106,47,746,4360,7239,9336,11952,13839,11.08,5139,1274749.21,5139,47519,128018,422,17,138,131740,281,134,270,337,258,236,207,108,192,158,127,166,149,139,177,110,,106,130,78,78,,,96,87,27728,2080,1811,1227,623,966,628,455,735,517,438,600,322,211,200,578,663,403,274,815,80,,,,,73,,,95,,,,,,,,,,,,,,,,,,,,,,,
2468014196681684,,201765839840980,Hometalk,"The genius NEW reason everyone's buying Dollar Store picture frames!",184,"05/15/2023 15:05",,,Lifetime,7573,122903,119,27,1107,266,7059,698,18384,999,28818,1413,33886,1778,33530,2392,151,1400,7804,19522,30498,35989,36239,26.36,56805,9364131.32,58889,131604,372734,1626,36,255,406697,614,439,827,603,727,392,757,397,328,330,228,318,171,241,280,332,,,202,225,,312,289,211,,69462,7303,5572,6320,2234,4635,2529,2198,2931,1232,1322,1560,1011,1118,956,1969,1055,832,2303,804,396,,,274,,,,,236,175,,,,,,,,,,,,,,,,,,,,,,
624956566195186,,201765839840980,Hometalk,"Wrap string lights around a hanger for this BREATHTAKING idea!",209,"05/16/2023 15:05",,,Lifetime,5726,69108,68,16,676,186,3586,515,7714,803,14256,1037,20734,1293,22074,1876,84,872,4131,8584,15394,22210,24141,19.88,14569,3289645.79,14569,75416,198829,1025,35,436,206426,334,223,327,535,441,272,355,225,190,195,163,277,125,103,200,225,,99,126,,95,104,,116,,43108,5639,3527,1838,1440,2104,1210,653,995,918,836,833,499,459,456,738,479,459,420,884,86,,,,108,,,,112,97,,,,,,,,,,,,,,,,,,,,,,
219065527520952,,201765839840980,Hometalk,"Stick a rake into a pool noodle for this brilliant outdoor hack!",247,"05/17/2023 15:05",,,Lifetime,49281,237702,115,63,1838,552,11513,2614,25204,6264,44216,9228,70986,13743,83830,16817,182,2435,14221,31785,53916,85590,101737,39.4,101787,21053558.6,101787,289870,778869,2878,81,930,895759,1039,1365,670,879,954,576,620,727,544,439,664,496,352,271,495,400,215,268,259,,342,255,,223,,192431,23945,12428,3447,10324,3877,2807,1234,2654,1767,3286,1526,1787,993,1283,1500,1431,1131,678,1821,,,,,212,,,,250,223,,,,,,,,,,,,,,,,,,,,,,
621303892984395,,201765839840980,Hometalk,"Cut your cleaning time in half and make your home sparkle with these tips and tricks!",185,"05/18/2023 15:05",,,Lifetime,2296,24423,25,2,238,70,1464,226,3080,328,4771,419,6544,499,8301,752,28,312,1705,3442,5241,7098,9135,9.61,3284,745929.49,3299,26961,82319,191,10,20,88128,160,113,104,156,129,92,119,76,78,78,86,88,70,58,82,56,34,54,69,,39,54,,62,36,15991,1578,1165,584,477,572,346,228,413,329,256,273,222,130,165,304,220,194,92,289,43,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,
647350523875743,,201765839840980,Hometalk,"Neighbors are flipping out over her GENIUS laundry basket idea!",199,"05/19/2023 15:05",,,Lifetime,51693,497168,658,282,5945,1675,34316,5773,83386,9761,131463,11819,134738,11437,106662,10946,954,7724,40314,93819,144237,147283,118711,21.51,88389,20875807.5,93487,553047,1017230,8268,249,3316,1093905,3222,2294,3017,10890,4969,4466,3630,3206,1859,2001,2440,4577,1228,3218,3294,2351,,1275,1818,,1282,,,,,241684,36517,23623,15442,10159,28073,11155,8470,7068,9171,5096,16373,3159,2237,2761,5191,4692,4515,3045,9701,,,,,3955,,,,1785,,,,,,,,1649,1240,,,,,,,,,,1245,1347,,,
763403241910858,,201765839840980,Hometalk,"The GENIUS reason she's coloring a solar light in with a Sharpie",218,"05/21/2023 15:05",,,Lifetime,31048,341539,399,72,4234,870,22062,3082,44335,4628,74768,6202,101518,7567,94223,8627,480,5172,25305,49303,81494,109823,103667,23.35,65384,18000114.54,65471,375246,831948,6326,349,4953,870107,879,863,750,1454,1209,627,624,854,913,347,717,656,241,275,469,437,,246,291,221,441,,,228,,288480,20560,9795,3408,4487,5422,3486,1533,1974,1840,1790,2542,1235,1089,1032,1307,1439,1146,707,1732,209,,,,386,,,,218,222,,,,,,,,,,,,,,,,,,,,,,
624756879545728,,201765839840980,Hometalk,"The GENIUS reason she's coloring a solar light in with a Sharpie",218,"05/21/2023 15:05",,,Lifetime,2577,26781,20,14,308,70,1610,280,3395,411,5698,477,7572,578,8178,747,34,383,1906,3839,6238,8229,9002,16.88,5098,1388493.21,5098,29631,93856,359,23,229,98195,75,96,110,117,115,74,74,61,54,46,54,58,32,32,59,41,,30,29,35,27,,32,43,,19775,2302,1138,556,526,472,331,207,304,262,167,191,119,110,125,169,224,218,115,160,30,,,,,,,,32,,27,,,,,,,,,,,,,,,,,,,,,
1297250524525644,,201765839840980,Hometalk,"Rub cement on a Dollar Store beach ball for this CRAZY cool idea!",197,"05/22/2023 15:05",,,Lifetime,76800,559629,342,142,3250,1072,18877,4593,58338,10287,133376,17470,191377,22979,154069,20257,493,4391,23639,69178,151870,215883,175753,32.71,244475,45006514.89,249807,641221,1400499,10502,644,3933,1539088,989,2624,1052,4416,2647,1349,980,3489,588,369,1522,1540,,,927,1344,749,415,641,,974,483,,,,440857,47478,32366,4912,11051,12309,10957,1744,2824,3040,3963,8224,3363,2015,4933,2120,1531,1328,846,3199,,,,,1884,,,,649,443,,557,,,,,,530,,,,509,,,,,,,,,,
1289624411675903,,201765839840980,Hometalk,"She did WHAT with a Walmart bucket?!",205,"05/23/2023 15:05",,,Lifetime,3824,47700,51,12,496,122,3005,377,6077,574,9840,693,13790,911,14441,1135,63,629,3396,6714,10612,14820,15698,22.42,12520,2378327.68,12520,51932,116336,666,9,219,119764,257,181,191,191,182,141,168,124,164,114,112,105,70,83,96,85,58,66,92,,65,,,58,59,34498,3191,1476,1219,818,737,547,429,643,467,423,361,266,327,197,345,377,350,239,399,58,,,,,,,,64,62,,,,,,,,,,,,,,,,,,,,,,
