"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels",Comment,Date,"People reached",Comments,Shares,Likes,"3-Second Video Views","Seconds Viewed","Averaged Seconds Viewed","Views by top audience (18-24, M)","Views by top audience (18-24, F)","Views by top audience (13-17, M)","Views by top audience (13-17, F)","Views by top audience (65+, M)","Views by top audience (65+, F)","Views by top audience (55-64, M)","Views by top audience (55-64, F)","Views by top audience (45-54, M)","Views by top audience (45-54, F)","Views by top audience (35-44, M)","Views by top audience (35-44, F)","Views by top audience (25-34, M)","Views by top audience (25-34, F)","Views by top audience (M)","Views by top audience (F)","Unique Video 60-Second Views","60-Second Video Views",Impressions,"Views by top audience (65+)","Views by top audience (55-64)","Views by top audience (45-54)","Views by top audience (35-44)","Views by top audience (25-34)","Views by top audience (18-24)","Views by top audience (13-17)","Views by country (United States (US))","Views by country (United Kingdom (GB))","Views by country (Canada (CA))","Views by country (France (FR))","Views by country (Germany (DE))","Views by country (Mexico (MX))","Views by country (Spain (ES))","Views by country (Greece (GR))","Views by country (Poland (PL))","Views by country (Australia (AU))","Views by country (Brazil (BR))","Views by country (Hungary (HU))","Views by country (South Africa (ZA))","Views by country (Netherlands (NL))","Views by country (Italy (IT))","Views by country (Colombia (CO))","Views by country (Belgium (BE))","Views by country (Ireland (IE))","Views by country (Puerto Rico (PR))","Views by country (Ukraine (UA))","Views by country (Argentina (AR))","Views by country (Portugal (PT))","Views by country (Slovakia (SK))","Views by country (Philippines (PH))","Views by country (Pakistan (PK))","Views by country (Denmark (DK))","Views by country (Sweden (SE))","Views by country (India (IN))","Views by country (Algeria (DZ))","Views by country (Israel (IL))","Views by country (Romania (RO))","Views by country (Serbia (RS))","Views by country (Egypt (EG))","Views by country (Norway (NO))","Views by country (New Zealand (NZ))","Views by country (Bulgaria (BG))","Views by country (Austria (AT))","Views by country (Chile (CL))","Views by country (Croatia (HR))","Views by country (Peru (PE))","Views by country (Macedonia (MK))","Views by country (Iraq (IQ))","Views by country (Iceland (IS))","Views by country (Bosnia and Herzegovina (BA))","Views by country (Malaysia (MY))","Views by country (Czech Republic (CZ))","Views by country (Cuba (CU))","Views by country (Lithuania (LT))","Views by country (Thailand (TH))","Views by country (Ecuador (EC))","Views by country (Switzerland (CH))","Views by country (Costa Rica (CR))","Views by country (Turkey (TR))","Views by country (Dominican Republic (DO))","Views by country (Guatemala (GT))","Views by country (Slovenia (SI))","Views by country (Indonesia (ID))","Views by country (Hong Kong (HK))","Views by country (Trinidad and Tobago (TT))","Views by country (El Salvador (SV))","Views by country (United Arab Emirates (AE))","Views by country (Finland (FI))","Views by country (Singapore (SG))","Views by country (Uruguay (UY))","Views by country (Bangladesh (BD))","Views by country (Jamaica (JM))","Views by country (Guyana (GY))","Views by country (Tunisia (TN))","Views by country (Mongolia (MN))","Views by country (Sri Lanka (LK))","Views by country (Myanmar (MM))","Views by country (Vietnam (VN))","Views by country (Cyprus (CY))","Views by country (Réunion (RE))","Views by country (Georgia (GE))","Views by country (Venezuela (VE))","Views by country (Bolivia (BO))","Views by country (Honduras (HN))","Views by country (Guam (GU))","Views by country (Namibia (NA))"
715539533586389,,201765839840980,Hometalk,"The stunning way people are using cupcake liners! (NOT for baking)",202,"01/23/2023 10:01",,,Lifetime,1100729,145,840,3499,458049,29854090.88,36.75,690,3131,76,209,10601,143518,6063,129230,3865,84068,2494,49139,1536,18145,25325,427440,165648,177119,1166758,156024,136793,88885,52246,19896,3908,287,241208,46115,35721,13379,8502,8435,4827,4104,5290,18379,2181,2255,6767,5579,6020,1090,3579,3237,1213,416,1551,1528,895,1046,907,1668,1636,2553,,928,894,436,,505,3073,667,1372,762,625,,,,,,726,4773,,523,443,,793,,,,,,,,393,,,411,394,,,,,,,,,,,,,,,,,
899639671235660,,201765839840980,Hometalk,"Make your front door stunning in just 5 minutes!",210,"01/24/2023 10:01",,,Lifetime,4367006,1453,28919,57242,2125020,95298089.77,23.67,9140,31010,2351,4130,34671,470861,32128,593232,31700,496665,25457,249116,19143,115594,154590,1960608,551136,558115,4683086,508515,627993,530419,275803,135306,40445,6524,506567,46290,62124,49249,32879,179348,30534,40560,96371,13433,145375,25108,15681,10613,89163,29801,12405,,,18888,22007,24553,15331,47780,19408,,,64586,12192,8076,21959,,7605,,,11653,8536,16441,,11208,,,,,12692,44546,,19165,43213,9712,,,8615,,8836,,10380,,,,,,,,9826,,,7698,11916,13042,15684,,,,,,,,,
717960023301423,,201765839840980,Hometalk,"He rescued a Habitat shutter for this genius entryway organizing idea!",256,"01/25/2023 10:01",,,Lifetime,119422,19,79,460,27587,1639091.32,17.55,60,231,8,22,849,8121,545,7064,469,5007,382,3116,210,1287,2523,24848,6930,6930,120227,9048,7674,5506,3526,1508,293,32,16901,1040,1744,668,373,799,373,306,384,372,303,295,221,174,279,131,111,112,122,37,201,101,95,141,59,42,67,164,,39,95,46,,,88,83,68,93,,46,,,,,49,188,,40,42,37,34,35,49,,,,35,,,,,,,,,,,,,,,,,,,,,,,
709132323987465,,201765839840980,Hometalk,"Wrap your old books in paper for this genius idea!",199,"01/26/2023 10:01",,,Lifetime,445030,62,884,2511,152508,8014990.1,21.95,299,1508,66,128,2946,33875,2221,39681,1860,35910,1286,22056,828,8414,9506,141572,41282,41282,452305,37249,42264,38105,23525,9324,1843,196,54458,7950,9656,8341,8257,9036,4615,2726,2886,2561,2856,1738,1344,1158,5539,1268,1448,768,574,443,1893,1417,629,645,478,433,491,2043,,374,774,423,,,511,640,702,897,397,418,,,,,327,2107,,334,461,279,454,336,,,294,,,,,,,,,,,,,,,,,,,,,,,,,
1931326177211518,,201765839840980,Hometalk,"Glue baskets to a Dollar Store broomstick - this is GENIUS!",186,"01/27/2023 10:01",,,Lifetime,2683296,315,8770,16553,1264273,57783255.33,26.65,4103,25489,507,1397,20334,193705,21642,268892,22964,294481,20701,237594,14510,128718,104761,1150276,304273,304273,2942628,215962,292724,319544,260002,144110,29980,1929,727249,32948,78814,42312,19782,68600,18155,10071,17316,14819,21656,8126,8015,6052,21131,9763,7712,3469,7841,1894,9423,6245,3046,6123,3818,2285,2630,6930,2099,2072,3742,,1849,,2365,2722,2976,6665,,2232,,,,,3649,9350,,2309,3580,2003,,2196,1684,,1665,,,,,,,,,,,,,,,,,,,,,,,,,
476261681389094,,201765839840980,Hometalk,"Glue 2 Dollar Store candlesticks for this brilliant bathroom hack!",188,"01/28/2023 10:01",,,Lifetime,8812823,2624,41305,80808,3421577,196664900.11,25,13977,178475,1062,7579,38727,437074,41101,563395,47160,687906,52610,693690,50660,585275,245297,3153394,992096,1007003,9588053,479472,608647,739672,751104,639530,194354,8773,2709179,50965,127618,24654,19439,116617,13161,11141,15240,21248,23469,7044,13748,7972,8991,13618,4574,5395,15963,,9910,5354,3016,14123,8256,2613,3940,12253,,,5099,,3011,,4449,2932,2770,8978,,3542,,,,,4309,6478,,2430,3076,3642,,3206,,5132,2996,,,,6730,,,,,,,2559,2431,,,,,,,,,,,,,
1190199308269911,,201765839840980,Hometalk,"Put 20 Dollar Store craft sticks on your couch (this is brilliant!)",193,"01/29/2023 10:01",,,Lifetime,274117,18,365,947,123221,4663228.39,18.6,333,1703,38,118,2341,25041,2003,27708,2173,25537,2063,20677,1407,11226,10358,112010,19945,21058,285242,27607,29906,27915,22888,12692,2052,160,65437,4864,5925,3548,1923,5724,2423,1639,2281,1260,1966,1849,1021,795,1584,1184,710,541,799,252,1365,684,440,593,629,360,345,1435,,183,612,264,205,,341,427,363,802,235,287,,,,,295,1066,,275,162,216,,224,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003728229680024,,201765839840980,Hometalk,"Stick a dryer sheet in your couch for this brilliant hack!",239,"01/30/2023 10:01",,,Lifetime,181650,65,359,857,69417,2941761.05,19.51,162,690,27,56,1746,18683,1217,16877,1000,13150,844,9519,466,4439,5462,63414,13038,13038,181650,20602,18212,14273,10441,4946,855,86,37648,3673,3952,2611,1181,2023,1302,1029,1278,809,732,1078,648,562,922,324,375,397,313,146,508,441,303,255,254,257,252,342,,154,324,152,,87,184,240,219,283,137,91,,,,,116,713,,141,91,,92,115,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772345276467262,,201765839840980,Hometalk,"Buy a wood round at Home Depot for this GENIUS idea!",202,"01/31/2023 10:01",,,Lifetime,920449,113,1787,4833,322151,13913842.2,22.74,1352,4826,156,253,10918,69297,9514,72795,7691,60009,6938,45792,4920,24417,41489,277389,53820,55433,973517,81145,83130,68350,53251,29574,6280,414,207521,8130,23315,8164,4167,12259,3193,2288,3384,4317,2934,2243,1683,1522,3673,1522,1367,737,1323,419,1710,1132,675,1001,614,531,686,2822,,336,830,362,332,,805,615,661,1203,350,381,,,,,441,1960,,397,565,,365,366,,,337,,,,,,,,,,,,,,,,,,,,,,,,,
1476280789446558,,201765839840980,Hometalk,"The easiest way to fix your damaged concrete for spring!",173,"02/01/2023 10:02",,,Lifetime,114565,13,95,330,36140,1393558.07,12.24,92,313,7,30,1374,9652,1006,8354,835,6462,687,4577,383,2097,4384,31485,6809,6809,125318,11123,9415,7355,5311,2491,407,38,20120,1587,1731,1258,577,1049,600,448,614,461,437,515,385,258,473,165,209,183,193,72,352,158,135,158,131,95,99,301,48,54,189,89,,52,139,197,97,173,68,52,,,,,111,300,,52,61,51,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
